,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
133,0.033,0.034,0.078,0.75,0.5,3,0.15,0.02,2.0,0.075,40,0.9263,0.0592
134,0.099,0.034,0.026,0.75,0.5,3,0.15,0.1,1.2,0.075,40,0.9743,0.0545
135,0.033,0.0204,0.078,0.75,0.5,3,0.15,0.06,2.0,0.075,40,0.9501,0.036
136,0.033,0.034,0.026,0.75,0.5,9,0.15,0.02,2.0,0.075,40,1.0818,0.0361
137,0.033,0.0204,0.026,0.75,0.5,9,0.15,0.06,2.0,0.075,40,1.1278,0.017
138,0.033,0.034,0.13,0.75,0.5,3,0.15,0.06,2.0,0.075,40,0.8782,0.0085
139,0.033,0.034,0.026,0.75,0.3,3,0.45,0.02,0.4,0.075,8,0.4817,0.012
140,0.033,0.034,0.026,0.75,0.1,3,0.45,0.06,0.4,0.075,24,0.5909,0.2017
141,0.033,0.0204,0.026,0.75,0.1,3,0.45,0.02,0.4,0.075,40,1.0443,0.0419
142,0.033,0.034,0.026,0.75,0.3,3,0.45,0.06,1.2,0.075,8,0.474,0.0088
143,0.033,0.0204,0.026,0.75,0.5,3,0.45,0.02,0.4,0.075,40,0.7546,0.0657
144,0.033,0.0204,0.026,0.75,0.5,3,0.45,0.1,1.2,0.075,8,0.42,0.0161
145,0.033,0.034,0.026,0.75,0.5,3,0.45,0.02,2.0,0.075,8,0.4503,0.0111
146,0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,1.2508,0.0327
147,0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,2.0,0.075,24,0.8915,0.0146
148,0.033,0.0204,0.026,0.75,0.3,3,0.45,0.1,0.4,0.075,40,1.2402,0.079
149,0.033,0.0204,0.026,0.75,0.1,3,0.45,0.06,1.2,0.075,40,1.1232,0.0198
150,0.033,0.034,0.026,0.75,0.1,3,0.45,0.06,1.2,0.075,40,1.0791,0.1096
151,0.033,0.034,0.078,0.75,0.5,3,0.45,0.02,0.4,0.075,40,0.8831,0.0243
152,0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,0.4,0.075,24,0.6555,0.035
153,0.099,0.034,0.026,0.75,0.5,3,0.45,0.02,1.2,0.075,24,0.7072,0.0076
154,0.033,0.0068,0.026,0.75,0.3,3,0.45,0.02,2.0,0.075,40,1.2493,0.0199
155,0.033,0.034,0.078,0.75,0.1,3,0.45,0.1,0.4,0.075,40,1.0088,0.0282
156,0.033,0.034,0.026,0.75,0.5,3,0.45,0.1,0.4,0.075,40,1.028,0.0334
157,0.033,0.034,0.026,0.75,0.1,3,0.45,0.02,2.0,0.075,40,1.2239,0.0498
158,0.033,0.034,0.026,0.75,0.5,3,0.45,0.1,1.2,0.075,24,0.7324,0.0125
159,0.033,0.034,0.026,0.75,0.3,3,0.45,0.06,2.0,0.075,24,0.7992,0.029
